province,male,agegroup,income,education,age,SupportLP,SupportCP,SupportNDP,SupportBQ,SupportGP,SupportPP,SupportAnother
British Columbia,1,ages65to74,"$75,000 to $99,999",Degree above Bachelor's,68,1,0,0,0,0,0,0
Nova Scotia,1,ages65to74,"$25,000 to $49,999",Some University,68,1,0,0,0,0,0,0
Quebec,0,ages65to74,"$50,000 to $74,999",Completed Highschool,65,1,0,0,0,0,0,0
Quebec,0,ages25to34,"$75,000 to $99,999",Bachelor's Degree,28,1,0,0,0,0,0,0
Ontario,1,ages65to74,"$25,000 to $49,999",Completed Highschool,69,0,0,0,0,1,0,0
Ontario,0,ages35to44,"$25,000 to $49,999",Some College,35,1,0,0,0,0,0,0
New Brunswick,1,ages25to34,"$25,000 to $49,999",Bachelor's Degree,34,1,0,0,0,0,0,0
Ontario,0,ages25to34,"$100,000 to $ 124,999",Bachelor's Degree,28,0,1,0,0,0,0,0
Quebec,0,ages65to74,"Less than $25,000",Completed Highschool,68,1,0,0,0,0,0,0
Ontario,1,ages45to54,"$25,000 to $49,999",Some College,50,0,0,0,0,1,0,0
Alberta,1,ages55to64,"$25,000 to $49,999",Some University,61,1,0,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Some University,74,1,0,0,0,0,0,0
Manitoba,1,ages45to54,"$50,000 to $74,999",Completed Highschool,54,0,1,0,0,0,0,0
Manitoba,1,ages35to44,"$125,000 and more",Degree above Bachelor's,40,1,0,0,0,0,0,0
British Columbia,0,ages45to54,"$125,000 and more",Degree above Bachelor's,54,1,0,0,0,0,0,0
Quebec,0,ages45to54,"Less than $25,000",Completed Highschool,46,0,0,0,0,0,0,1
Quebec,1,ages55to64,"Less than $25,000",Some College,59,0,1,0,0,0,0,0
Ontario,1,ages45to54,"$75,000 to $99,999",Bachelor's Degree,51,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Completed Highschool,72,0,0,1,0,0,0,0
Quebec,0,ages55to64,"Less than $25,000",Completed Highschool,56,0,1,0,0,0,0,0
Quebec,0,ages55to64,"$125,000 and more",Degree above Bachelor's,60,1,0,0,0,0,0,0
Ontario,1,ages75plus,"$75,000 to $99,999",Degree above Bachelor's,81,0,1,0,0,0,0,0
Ontario,1,ages55to64,"$100,000 to $ 124,999",Degree above Bachelor's,63,0,0,1,0,0,0,0
Ontario,1,ages55to64,"$75,000 to $99,999",Some University,63,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$100,000 to $ 124,999",Some College,65,0,1,0,0,0,0,0
Quebec,0,ages65to74,"$25,000 to $49,999",Some College,72,0,1,0,0,0,0,0
Ontario,1,ages35to44,"$75,000 to $99,999",Bachelor's Degree,37,0,1,0,0,0,0,0
Nova Scotia,1,ages45to54,"$125,000 and more",Completed Highschool,52,0,0,0,0,1,0,0
Ontario,0,ages45to54,"$50,000 to $74,999",Bachelor's Degree,49,1,0,0,0,0,0,0
Ontario,1,ages75plus,"$25,000 to $49,999",Some University,81,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$125,000 and more",Some University,73,1,0,0,0,0,0,0
Ontario,0,ages45to54,"$75,000 to $99,999",Bachelor's Degree,53,0,1,0,0,0,0,0
Ontario,1,ages75plus,"$125,000 and more",Some College,80,0,1,0,0,0,0,0
Ontario,1,ages25to34,"$50,000 to $74,999",Bachelor's Degree,25,1,0,0,0,0,0,0
Ontario,1,ages35to44,"$50,000 to $74,999",Bachelor's Degree,36,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$75,000 to $99,999",Completed Highschool,60,0,1,0,0,0,0,0
Ontario,1,ages65to74,"Less than $25,000",Degree above Bachelor's,69,0,0,0,0,0,0,1
Ontario,0,ages55to64,"$50,000 to $74,999",Bachelor's Degree,58,0,1,0,0,0,0,0
Ontario,0,ages45to54,"$25,000 to $49,999",Bachelor's Degree,49,0,0,0,0,1,0,0
Quebec,1,ages55to64,"$50,000 to $74,999",Bachelor's Degree,63,1,0,0,0,0,0,0
Ontario,0,ages18to24,"$25,000 to $49,999",Completed Highschool,19,1,0,0,0,0,0,0
Ontario,0,ages25to34,"$50,000 to $74,999",Bachelor's Degree,26,0,0,0,0,1,0,0
Quebec,1,ages55to64,"$50,000 to $74,999",Completed Highschool,64,0,1,0,0,0,0,0
Ontario,1,ages55to64,"$100,000 to $ 124,999",Bachelor's Degree,62,0,1,0,0,0,0,0
Quebec,0,ages65to74,"$25,000 to $49,999",Completed Highschool,65,0,0,0,1,0,0,0
Ontario,1,ages65to74,"$25,000 to $49,999",Some College,66,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$75,000 to $99,999",Some College,60,1,0,0,0,0,0,0
Nova Scotia,1,ages55to64,"$50,000 to $74,999",Some College,58,0,0,1,0,0,0,0
Quebec,1,ages55to64,"$125,000 and more",Bachelor's Degree,55,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Some College,74,1,0,0,0,0,0,0
Ontario,1,ages65to74,"$25,000 to $49,999",Degree above Bachelor's,73,0,1,0,0,0,0,0
Quebec,0,ages35to44,"Less than $25,000",No Highschool,42,1,0,0,0,0,0,0
Ontario,1,ages35to44,"$50,000 to $74,999",Completed Highschool,36,1,0,0,0,0,0,0
Ontario,0,ages45to54,"$75,000 to $99,999",Bachelor's Degree,50,0,1,0,0,0,0,0
Ontario,1,ages55to64,"$75,000 to $99,999",Completed Highschool,55,0,0,0,0,1,0,0
Ontario,0,ages65to74,"$25,000 to $49,999",Degree above Bachelor's,71,0,0,1,0,0,0,0
Ontario,1,ages35to44,"$125,000 and more",Bachelor's Degree,42,1,0,0,0,0,0,0
Alberta,1,ages25to34,"$50,000 to $74,999",Bachelor's Degree,32,0,1,0,0,0,0,0
Ontario,0,ages75plus,"$50,000 to $74,999",Some College,77,0,0,0,0,1,0,0
Quebec,1,ages55to64,"$125,000 and more",Bachelor's Degree,57,0,0,0,1,0,0,0
Ontario,1,ages55to64,"$125,000 and more",Bachelor's Degree,56,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$125,000 and more",Bachelor's Degree,60,1,0,0,0,0,0,0
Newfoundland and Labrador,1,ages55to64,"Less than $25,000",Bachelor's Degree,64,0,1,0,0,0,0,0
Quebec,0,ages18to24,"Less than $25,000",Completed Highschool,23,0,0,0,0,1,0,0
Ontario,1,ages25to34,"$75,000 to $99,999",Degree above Bachelor's,28,1,0,0,0,0,0,0
Ontario,1,ages65to74,"$75,000 to $99,999",Bachelor's Degree,72,1,0,0,0,0,0,0
Ontario,0,ages35to44,"$75,000 to $99,999",Degree above Bachelor's,40,0,1,0,0,0,0,0
Ontario,0,ages75plus,"$50,000 to $74,999",Degree above Bachelor's,78,1,0,0,0,0,0,0
Quebec,1,ages25to34,"Less than $25,000",Some University,29,0,0,0,0,1,0,0
Quebec,1,ages55to64,"$25,000 to $49,999",Completed Highschool,59,0,1,0,0,0,0,0
Ontario,1,ages35to44,"$75,000 to $99,999",Bachelor's Degree,39,0,1,0,0,0,0,0
Quebec,0,ages45to54,"Less than $25,000",Some University,47,0,1,0,0,0,0,0
Ontario,1,ages65to74,"Less than $25,000",Some College,70,0,0,1,0,0,0,0
Ontario,1,ages35to44,"$50,000 to $74,999",Completed Highschool,43,0,1,0,0,0,0,0
Ontario,1,ages35to44,"$25,000 to $49,999",Completed Highschool,41,0,0,1,0,0,0,0
Ontario,0,ages65to74,"$125,000 and more",Completed Highschool,68,1,0,0,0,0,0,0
Ontario,0,ages25to34,"Less than $25,000",Completed Highschool,33,1,0,0,0,0,0,0
Quebec,1,ages35to44,"$75,000 to $99,999",Completed Highschool,35,0,0,1,0,0,0,0
New Brunswick,1,ages75plus,"$25,000 to $49,999",Some College,79,0,1,0,0,0,0,0
Ontario,1,ages45to54,"$125,000 and more",Degree above Bachelor's,47,1,0,0,0,0,0,0
Quebec,0,ages65to74,"$25,000 to $49,999",Completed Highschool,74,0,0,0,1,0,0,0
Ontario,1,ages45to54,"$75,000 to $99,999",Bachelor's Degree,46,0,1,0,0,0,0,0
Alberta,1,ages35to44,"$25,000 to $49,999",No Highschool,36,1,0,0,0,0,0,0
Ontario,0,ages25to34,"$50,000 to $74,999",Degree above Bachelor's,30,1,0,0,0,0,0,0
Ontario,0,ages45to54,"$100,000 to $ 124,999",Degree above Bachelor's,52,1,0,0,0,0,0,0
Ontario,0,ages65to74,"$50,000 to $74,999",Completed Highschool,74,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Bachelor's Degree,71,1,0,0,0,0,0,0
Nova Scotia,1,ages65to74,"$25,000 to $49,999",Completed Highschool,65,0,1,0,0,0,0,0
Ontario,0,ages75plus,"$50,000 to $74,999",Bachelor's Degree,86,1,0,0,0,0,0,0
Ontario,1,ages65to74,"$75,000 to $99,999",Bachelor's Degree,73,1,0,0,0,0,0,0
Ontario,0,ages65to74,"Less than $25,000",Completed Highschool,72,0,1,0,0,0,0,0
Quebec,1,ages45to54,"$50,000 to $74,999",Bachelor's Degree,54,0,0,0,0,1,0,0
Prince Edward Island,1,ages55to64,"$100,000 to $ 124,999",Degree above Bachelor's,61,1,0,0,0,0,0,0
Ontario,1,ages35to44,"$50,000 to $74,999",Degree above Bachelor's,44,0,0,0,0,0,1,0
Ontario,0,ages55to64,"$125,000 and more",Some College,57,0,1,0,0,0,0,0
Newfoundland and Labrador,1,ages25to34,"Less than $25,000",Completed Highschool,31,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$25,000 to $49,999",Bachelor's Degree,59,0,0,1,0,0,0,0
Ontario,0,ages55to64,"$125,000 and more",Bachelor's Degree,63,1,0,0,0,0,0,0
Ontario,1,ages55to64,"$75,000 to $99,999",Completed Highschool,61,0,0,0,0,1,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Completed Highschool,72,1,0,0,0,0,0,0
Ontario,1,ages45to54,"$75,000 to $99,999",Completed Highschool,53,0,1,0,0,0,0,0
Alberta,1,ages18to24,"$25,000 to $49,999",Bachelor's Degree,23,0,1,0,0,0,0,0
Newfoundland and Labrador,1,ages55to64,"$100,000 to $ 124,999",Bachelor's Degree,59,1,0,0,0,0,0,0
Quebec,0,ages65to74,"$50,000 to $74,999",Some University,69,1,0,0,0,0,0,0
Ontario,0,ages75plus,"$50,000 to $74,999",Some University,83,0,0,0,0,1,0,0
Quebec,0,ages55to64,"$125,000 and more",Bachelor's Degree,57,1,0,0,0,0,0,0
Quebec,0,ages45to54,"$50,000 to $74,999",Completed Highschool,52,0,1,0,0,0,0,0
Nova Scotia,1,ages75plus,"$50,000 to $74,999",Completed Highschool,79,0,1,0,0,0,0,0
Ontario,0,ages75plus,"$25,000 to $49,999",Degree above Bachelor's,99,1,0,0,0,0,0,0
Quebec,1,ages65to74,"Less than $25,000",Completed Highschool,65,0,1,0,0,0,0,0
Ontario,0,ages65to74,"$25,000 to $49,999",Some College,72,0,0,0,0,1,0,0
Alberta,1,ages35to44,"Less than $25,000",Some College,35,0,1,0,0,0,0,0
Ontario,1,ages65to74,"$50,000 to $74,999",Bachelor's Degree,67,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$25,000 to $49,999",Bachelor's Degree,56,0,1,0,0,0,0,0
Alberta,1,ages18to24,"Less than $25,000",No Highschool,20,0,0,0,0,1,0,0
Ontario,1,ages55to64,"$50,000 to $74,999",Some College,63,1,0,0,0,0,0,0
Quebec,0,ages55to64,"$100,000 to $ 124,999",Bachelor's Degree,58,0,0,0,0,1,0,0
Quebec,0,ages55to64,"$25,000 to $49,999",Some University,59,1,0,0,0,0,0,0
Quebec,0,ages55to64,"$50,000 to $74,999",Completed Highschool,56,1,0,0,0,0,0,0
Ontario,0,ages55to64,"$125,000 and more",Bachelor's Degree,61,1,0,0,0,0,0,0
Ontario,0,ages65to74,"$50,000 to $74,999",Completed Highschool,68,1,0,0,0,0,0,0
Quebec,1,ages55to64,"$25,000 to $49,999",Some College,62,0,0,0,0,0,1,0
Ontario,1,ages35to44,"Less than $25,000",Some College,39,0,1,0,0,0,0,0
Quebec,0,ages35to44,"$25,000 to $49,999",Completed Highschool,38,0,1,0,0,0,0,0
Quebec,0,ages45to54,"$100,000 to $ 124,999",Some College,45,0,1,0,0,0,0,0
Newfoundland and Labrador,1,ages65to74,"Less than $25,000",Completed Highschool,71,1,0,0,0,0,0,0
Quebec,1,ages45to54,"$100,000 to $ 124,999",Degree above Bachelor's,45,0,0,0,0,1,0,0
Quebec,0,ages65to74,"$25,000 to $49,999",Degree above Bachelor's,70,0,0,0,0,1,0,0
Ontario,1,ages45to54,"$25,000 to $49,999",Some University,49,0,0,0,0,1,0,0
Ontario,0,ages45to54,"$100,000 to $ 124,999",Bachelor's Degree,54,0,1,0,0,0,0,0
Quebec,0,ages45to54,"$50,000 to $74,999",Completed Highschool,51,0,1,0,0,0,0,0
